Artikelnr.	Ordercode	RoHS-compatibel?	Uw art.nr.	Opmerkingen	Hoeveelheid	Artikelnummer fabrikant	Naam fabrikant	Fabrikant / beschrijving	Beschikbaarheid	Prijs per stuk	Artikelprijs	Prijs na korting
1	1833865	RoHS: YES / FTALATEN: YES			10.0	06033C224KAT2A	AVX	AVX  SMD Multilayer Ceramic Capacitor, 0.22 µF, 25 V, 0603 [1608 Metric], ± 10%, X7R, AVX 0603 MLCC	13106	0.1900	1.90	
2	2611940	RoHS: YES / FTALATEN: YES			10.0	GRM21BR61C106KE15K	MURATA	MURATA  SMD Multilayer Ceramic Capacitor, 10 µF, 16 V, 0805 [2012 Metric], ± 10%, X5R, GRM Series	193512	0.2690	2.69	
3	1856079	RoHS: YES / FTALATEN: YES			10.0	MCMT18N100F100CT	MULTICOMP PRO	MULTICOMP PRO  SMD Multilayer Ceramic Capacitor, 10 pF, 10 V, 0603 [1608 Metric], ± 1%, C0G / NP0, MCMT Series	3967	0.0906	0.91	
4	2611878	RoHS: YES / FTALATEN: YES			10.0	GCM155R71H104KE02D	MURATA	MURATA  SMD Multilayer Ceramic Capacitor, 0.1 µF, 50 V, 0402 [1005 Metric], ± 10%, X7R, GCM Series	190386	0.0838	0.84	
5	2672214	RoHS: YES / FTALATEN: YES			5.0	GRT31CR61H106KE01L	MURATA	MURATA  SMD Multilayer Ceramic Capacitor, 10 µF, 50 V, 1206 [3216 Metric], ± 10%, X5R, GRT Series	192763	0.6980	3.49	
6	1845734	RoHS: YES / FTALATEN: YES			10.0	GRM188R61E225KA12D	MURATA	MURATA  SMD Multilayer Ceramic Capacitor, 2.2 µF, 25 V, 0603 [1608 Metric], ± 10%, X5R, GRM Series	333580	0.1540	1.54	
7	1658514	RoHS: YES / FTALATEN: YES			5.0	TPSB156K020R0500	AVX	AVX  Surface Mount Tantalum Capacitor, 15 µF, 20 V, 1411 [3528 Metric], TPS Series, ± 10%, -55 °C	178	0.9830	4.92	
8	2320839	RoHS: YES / FTALATEN: YES			10.0	MC0805B104J500CT	MULTICOMP PRO	MULTICOMP PRO  SMD Multilayer Ceramic Capacitor, 0.1 µF, 50 V, 0805 [2012 Metric], ± 5%, X7R, MC Series	61719	0.1150	1.15	
9	2099222	RoHS: YES / FTALATEN: YES			5.0	KPT-1608SECK	KINGBRIGHT	KINGBRIGHT  LED, Low Power, Orange, SMD, 0603, 20 mA, 2.1 V, 601 nm	17062	0.1220	0.61	
10	1121785	RoHS: YES / FTALATEN: TBA			10.0	SL 3.5/2/180G	WEIDMULLER	WEIDMULLER  Terminal Block, Plug, 3.5 mm, 2 Ways, 10 A, 300 V, Through Hole Vertical	4468	0.3870	3.87	
11	1758742	RoHS: YES / FTALATEN: YES			1.0	105057-0001	MOLEX	MOLEX  USB Connector, USB Type A, USB 2.0, Receptacle, 4 Ways, Through Hole Mount, Vertical	3627	10.900	1.09	
12	1121792	RoHS: YES / FTALATEN: TBA			2.0	SL 3.5/4/180G	WEIDMULLER	WEIDMULLER  Terminal Block, Plug, 3.5 mm, 4 Ways, 10 A, 300 V, Through Hole Vertical	3432	0.9600	1.92	
13	1121788	RoHS: YES / FTALATEN: TBA			10.0	SL 3.5/3/180G	WEIDMULLER	WEIDMULLER  Terminal Block, Plug, 3.5 mm, 3 Ways, 10 A, 300 V, Through Hole Vertical	3257	0.7930	7.93	
14	2537021	RoHS: YES / FTALATEN: YES			10.0	USB3106-30-0230-A	GCT (GLOBAL CONNECTOR TECHNOLOGY)	GCT (GLOBAL CONNECTOR TECHNOLOGY)  USB Connector, Micro USB Type AB, USB 2.0, Receptacle, 5 Ways, Through Hole Mount, Vertical	8481	11.900	11.90	
15	8529833	RoHS: YES / FTALATEN: YES			5.0	KP-1608SGC	KINGBRIGHT	KINGBRIGHT  LED, Low Power, Green, SMD, 0603, 20 mA, 2.2 V, 568 nm	47402	0.1250	0.63	
16	2463988	RoHS: YES / FTALATEN: YES			5.0	KP-1608EC	KINGBRIGHT	KINGBRIGHT  LED, Low Power, Red, SMD, 0603, 20 mA, 2 V, 617 nm	7150	0.1540	0.77	
17	2447096	RoHS: Y-EX / FTALATEN: YES			10.0	MCWR04X1002FTL	MULTICOMP PRO	MULTICOMP PRO  SMD Chip Resistor, 0402 [1005 Metric], 10 kohm, MCWR Series, 50 V, Thick Film, 62.5 mW	124756	0.0048	0.05	
18	2447178	RoHS: Y-EX / FTALATEN: YES			20.0	MCWR04X4700FTL	MULTICOMP PRO	MULTICOMP PRO  SMD Chip Resistor, 0402 [1005 Metric], 470 ohm, MCWR Series, 50 V, Thick Film, 62.5 mW	111540	0.0048	0.10	
19	2322113	RoHS: YES / FTALATEN: YES			5.0	150141RV73100	WURTH ELEKTRONIK	WURTH ELEKTRONIK  LED, Top, Waterclear, Bi-Color, Green, Red, SMD, 120 °, Round, R 30mA, G 30mA	2261	0.3420	1.71	
20	2561690	RoHS: YES / FTALATEN: YES			10.0	ERJPA2F1003X	PANASONIC	PANASONIC  SMD Chip Resistor, Anti-Surge, 0402 [1005 Metric], 100 kohm, ERJPA2 Series, 50 V, Thick Film	1997	0.1730	1.73	
21	2302581	RoHS: YES / FTALATEN: YES			10.0	ERJ2RKF3300X	PANASONIC	PANASONIC  SMD Chip Resistor, 0402 [1005 Metric], 330 ohm, ERJ2R Series, 50 V, Thick Film, 100 mW	17443	0.0259	0.26	
22	2447120	RoHS: Y-EX / FTALATEN: YES			10.0	MCWR04X1001FTL	MULTICOMP PRO	MULTICOMP PRO  SMD Chip Resistor, 0402 [1005 Metric], 1 kohm, MCWR Series, 50 V, Thick Film, 62.5 mW	128782	0.0048	0.05	
23	2931638	RoHS: YES / FTALATEN: YES			1.0	TDD01H0SB1R	C & K COMPONENTS	C & K COMPONENTS  DIP / SIP Switch, Jumper, 1 Circuits, Slide, SMD, SPDT, 24 V, 25 mA	160	17.400	1.74	
24	2079484	RoHS: YES / FTALATEN: YES			10.0	EVQPLMA15	PANASONIC	PANASONIC  Tactile Switch, EVQPL Series, Top Actuated, SMD, Round Button, 265 gf, 20mA at 15VDC	2273	0.2800	2.80	
25	2519459	RoHS: YES / FTALATEN: YES			2.0	MAX3232ESE+	MAXIM INTEGRATED PRODUCTS	MAXIM INTEGRATED PRODUCTS  Low Power, RS232 Transmitter/Receiver, 2 Drivers/2 Receivers, MAX232 compatible, SOIC-16	271	38.200	7.64	
27	2432757	RoHS: YES / FTALATEN: YES			1.0	PIC24FJ128GB204-I/PT	MICROCHIP	MICROCHIP  PIC/DSPIC Microcontroller, General Purpose, PIC24 Family PIC24FJ GB Series Microcontrollers, PIC24	353	42.200	4.22	
28	2812635	RoHS: Y-EX / FTALATEN: YES			1.0	OKI-78SR-5/1.5-W36E-C	MURATA POWER SOLUTIONS	MURATA POWER SOLUTIONS  Non Isolated POL DC/DC Converter, 1 Output, 7.5 W, 5 V, 1.5 A, Fixed, Through Hole	167	52.900	5.29	
29	1627177	RoHS: YES / FTALATEN: YES			3.0	MCP1703-3302E/DB	MICROCHIP	MICROCHIP  Fixed LDO Voltage Regulator, 2.7V to 16V, 525mV Dropout, 3.3Vout, 250mAout, SOT-223-3	5388	0.5800	1.74	
30	9509682	RoHS: YES / FTALATEN: YES			1.0	X32K768L104	AEL CRYSTALS	AEL CRYSTALS  Crystal, 32.768 kHz, Cylinder Radial, 8mm x 3mm Dia, 12.5 pF, 20 ppm	37608	11.400	1.14	
31	2443237	RoHS: YES / FTALATEN: YES			10.0	BLM18HE152SN1D	MURATA	MURATA  Ferrite Bead, 0603 [1608 Metric], 1.5 kohm, 500 mA, BLM18H Series, 0.5 ohm, ± 25%	30511	0.0974	0.97	
32	1685644	RoHS: YES / FTALATEN: TBA			1.0	LM2940S-9.0/NOPB .	TEXAS INSTRUMENTS	TEXAS INSTRUMENTS  Fixed LDO Voltage Regulator, 0V to 26V, 500mV Dropout, 9Vout, 1Aout, TO-263-3	11 Beschikbaar tot einde voorraad	18.000	1.80	
												
							Subtotaal	81.81				
							Totaal aantal goederen	81.81				
							Levering	0.00				
							BTW	Onbekend				
							Totaal	81.81				
